experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,excludedVolumeCutOff,iterationsNumber,events,FETs,meanFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs,MSRG_atEncounter,Ensemble_MSRG,Ensemble_MSRG_dx
1_0,100,3,0.2,10,False,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.0,5,['Misrepair_a1-b1' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1' 'Repair'],[ 1.95   6.475 25.18  17.03   0.235],10.174000000000001,8.336663824893025,0.06793231360664675,0.04607291255541382,"Counter({'Misrepair_a2-b1': 2, 'Repair': 2, 'Misrepair_a1-b1': 1})",0.4,0.4294144850840502,3.2,[0.26971779 0.40856632 1.10526607 0.33966903 0.50372268],0.525388378122888,0.1176305787282935
1_1,100,3,0.2,10,False,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.027777777777777776,5,"['Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1']",[53.97  12.98  35.82  46.805 27.62 ],35.43900000000001,12.631116677209501,0.009005304781709307,-0.02803803777968166,Counter({'Misrepair_a2-b1': 5}),0.0,0.0,2.2,[0.30911098 0.35819166 1.25316519 0.28448421 0.23446071],0.4878825488106656,0.15080847154445465
1_2,100,3,0.2,10,False,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.05555555555555555,5,"['Repair' 'Misrepair_a1-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Misrepair_a2-b1']",[25.225  6.04   4.75   5.455 17.325],11.759,7.162849108984496,-1,-1,"Counter({'Misrepair_a2-b1': 2, 'Repair': 1, 'Misrepair_a1-b1': 1, 'Misrepair_a2-b2': 1})",0.2,0.35061545887196705,2.0,[1.07547723 1.5225307  0.37315051 0.48197915 0.48153729],0.7869349768971599,0.17370873856975483
1_3,100,3,0.2,10,False,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.08333333333333333,5,['Repair' 'Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a2-b1'],[ 0.81   0.705  7.585  5.64  10.815],5.111,3.4363796350927234,0.17964254585800365,0.1136766307862449,"Counter({'Repair': 3, 'Misrepair_a1-b1': 1, 'Misrepair_a2-b1': 1})",0.6,0.4294144850840502,3.0,[0.35949053 0.45553962 0.99660316 1.55921221 1.22587146],0.9193433956705629,0.17859975955153276
1_4,100,3,0.2,10,False,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.1111111111111111,5,['Repair' 'Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a2-b1'],[ 0.     0.145  2.7    0.    13.455],3.2600000000000002,4.558170370137563,0.40455583468239475,0.4414162134267535,"Counter({'Repair': 3, 'Misrepair_a1-b1': 1, 'Misrepair_a2-b1': 1})",0.6,0.4294144850840502,3.2,[0.44850111 0.75345755 1.36125916 0.75964376 1.10388138],0.8853485910806629,0.1237479027244259
1_5,100,3,0.2,10,False,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.1388888888888889,5,['Repair' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Repair'],[0.08  0.055 0.135 3.395 2.88 ],1.309,1.316598980282151,68.6533086196287,9.649987803692376,"Counter({'Repair': 4, 'Misrepair_a1-b1': 1})",0.8,0.350615458871967,3.0,[0.49067228 0.87948577 0.73440355 2.28432118 0.88026137],1.0538288274008862,0.24753863548203495
1_6,100,3,0.2,10,False,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.16666666666666666,5,['Repair' 'Repair' 'Repair' 'Repair' 'Repair'],[0.    0.    0.025 0.725 0.005],0.151,0.2516963592903163,2457.1724188805174,309.61867669190576,Counter({'Repair': 5}),1.0,0.0,3.0,[0.50970364 1.16169969 0.56168289 0.80659994 0.74585231],0.757107692219926,0.0903592677958641
1_7,100,3,0.2,10,False,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.19444444444444442,5,['Repair' 'Repair' 'Repair' 'Repair' 'Repair'],[0. 0. 0. 0. 0.],0.0,0.0,-1,-1,Counter({'Repair': 5}),1.0,0.0,2.4,[0.81764383 0.27832217 0.52032344 0.51365542 0.69377471],0.5647439144707954,0.07168948899839897
1_8,100,3,0.2,10,False,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.2222222222222222,5,['Misrepair_a2-b1' 'Repair' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b1'],[0. 0. 0. 0. 0.],0.0,0.0,-1,-1,"Counter({'Repair': 2, 'Misrepair_a1-b1': 2, 'Misrepair_a2-b1': 1})",0.4,0.4294144850840502,2.4,[2.32512923 0.53331591 0.61858708 0.46501982 3.91593421],1.5715972501380702,0.5338831725655437
1_9,100,3,0.2,10,False,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.25,5,['Repair' 'Repair' 'Repair' 'Repair' 'Repair'],[0.    0.    0.    0.015 0.   ],0.003,0.005259231883079505,-1,-1,Counter({'Repair': 5}),1.0,0.0,3.4,[0.64126845 0.67619668 1.42341444 2.43040892 1.19756328],1.273770354258204,0.2554424678656383
