experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,events,FETs,meanFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs
6_0,[100  50],3,0.2,"[[12  6]
 [ 6 12]]",False,0.008,3,0.010700000000000001,0.01,12000,250,12000,0.06574409528447432,10,2,0,3,['Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b2'],[23.7968 72.867   3.2742],33.31266666666667,33.03959366711548,-1,-1,"Counter({'Repair': 1, 'Misrepair_a2-b1': 1, 'Misrepair_a2-b2': 1})",0.3333333333333333,0.533444432872781,1.3333333333333333
6_1,[100 100],3,0.2,"[[12  6]
 [ 6 12]]",False,0.008,3,0.0094,0.01,12000,250,12000,0.061671414428675415,10,2,0,3,['Misrepair_a1-b1' 'Repair' 'Repair'],[20.868  17.5404 12.5114],16.973266666666667,3.887132502629252,0.11966589156497091,-6.320163876322172e-10,"Counter({'Repair': 2, 'Misrepair_a1-b1': 1})",0.6666666666666666,0.533444432872781,0.6666666666666666
6_2,[100 200],3,0.2,"[[12  6]
 [ 6 12]]",False,0.008,3,0.0078000000000000005,0.01,12000,250,12000,0.0561840164182549,10,2,0,3,['Misrepair_a2-b1' 'Misrepair_a1-b2' 'Repair'],[ 4.5084 90.3084 56.3862],50.401,39.92585123555929,0.01165501163846862,-5.915903287272206e-11,"Counter({'Misrepair_a2-b1': 1, 'Misrepair_a1-b2': 1, 'Repair': 1})",0.3333333333333333,0.533444432872781,0.3333333333333333
6_3,[100 300],3,0.2,"[[12  6]
 [ 6 12]]",False,0.008,3,0.0068,0.01,12000,250,12000,0.05250362104632127,10,2,0,3,['NA' 'Misrepair_a1-b1' 'Misrepair_a2-b2'],[    nan  2.448  26.0576],14.252799999999999,16.36061809587987,0.04235565205261751,2.1113502336048612e-10,"Counter({'NA': 1, 'Misrepair_a1-b1': 1, 'Misrepair_a2-b2': 1})",0.0,0.0,0.0
7_0,[100  50],3,0.2,"[[12  7]
 [ 7 12]]",False,0.008,3,0.010400000000000001,0.01,12000,250,12000,0.06476585161041898,10,2,0,3,['Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b1'],[75.3168 46.9664 81.5776],67.95360000000001,17.040514663307977,-1,-1,"Counter({'Misrepair_a2-b2': 1, 'Repair': 1, 'Misrepair_a2-b1': 1})",0.3333333333333333,0.533444432872781,0.3333333333333333
7_1,[100 100],3,0.2,"[[12  7]
 [ 7 12]]",False,0.008,3,0.0091,0.01,12000,250,12000,0.060774173669159264,10,2,0,3,['Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a2-b1'],[ 1.8837 62.5261 58.2036],40.87113333333334,31.26028940779093,-1,-1,"Counter({'Misrepair_a2-b2': 1, 'Misrepair_a1-b1': 1, 'Misrepair_a2-b1': 1})",0.0,0.0,1.3333333333333333
7_2,[100 200],3,0.2,"[[12  7]
 [ 7 12]]",False,0.008,3,0.0076,0.01,12000,250,12000,0.055386344940303346,10,2,0,3,['Repair' 'Repair' 'Misrepair_a1-b2'],[22.1692  7.6228  9.4392],13.077066666666667,7.323455402087571,-1,-1,"Counter({'Repair': 2, 'Misrepair_a1-b2': 1})",0.6666666666666666,0.533444432872781,0.3333333333333333
7_3,[100 300],3,0.2,"[[12  7]
 [ 7 12]]",False,0.008,3,0.0066,0.01,12000,250,12000,0.05176785557484976,10,2,0,3,['Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b2'],[27.9048 54.549   7.6692],30.041,21.724712163623682,0.021331148742765975,-4.323593859040207e-10,"Counter({'Repair': 1, 'Misrepair_a2-b1': 1, 'Misrepair_a1-b2': 1})",0.3333333333333333,0.533444432872781,0.6666666666666666
8_0,[100  50],3,0.2,"[[12  8]
 [ 8 12]]",False,0.008,3,0.010100000000000001,0.01,12000,250,12000,0.06384697680805512,10,2,0,3,['Repair' 'Misrepair_a1-b2' 'Misrepair_a2-b1'],[ 5.3429 97.8185 36.2388],46.46673333333334,43.49838297201115,0.01081366330170355,4.249657585003002e-11,"Counter({'Repair': 1, 'Misrepair_a1-b2': 1, 'Misrepair_a2-b1': 1})",0.3333333333333333,0.533444432872781,0.3333333333333333
8_1,[100 100],3,0.2,"[[12  8]
 [ 8 12]]",False,0.008,3,0.0089,0.01,12000,250,12000,0.05993184312015989,10,2,0,3,['Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b1'],[44.2686  2.314  22.3568],22.9798,19.38844601745451,0.023835288751091234,2.8365915553693275e-10,"Counter({'Repair': 1, 'Misrepair_a2-b2': 1, 'Misrepair_a2-b1': 1})",0.3333333333333333,0.533444432872781,1.6666666666666667
8_2,[100 200],3,0.2,"[[12  8]
 [ 8 12]]",False,0.008,3,0.0073999999999999995,0.01,12000,250,12000,0.05463800899767615,10,2,0,3,['Misrepair_a1-b2' 'Misrepair_a2-b1' 'Repair'],[50.7862 20.8902 22.9474],31.54126666666667,15.428452825713789,-1,-1,"Counter({'Misrepair_a1-b2': 1, 'Misrepair_a2-b1': 1, 'Repair': 1})",0.3333333333333333,0.533444432872781,0.6666666666666666
8_3,[100 300],3,0.2,"[[12  8]
 [ 8 12]]",False,0.008,3,0.0063999999999999994,0.01,12000,250,12000,0.05107788246917974,10,2,0,3,['NA' 'NA' 'Repair'],[    nan     nan 75.6608],75.6608,0.0,-1,-1,"Counter({'NA': 2, 'Repair': 1})",1.0,0.0,2.0
9_0,[100  50],3,0.2,"[[12  9]
 [ 9 12]]",False,0.008,3,0.009800000000000001,0.01,12000,250,12000,0.06298107668041787,10,2,0,3,['Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1'],[28.8806  8.0556 27.2342],21.39013333333334,10.696924041538976,-1,-1,"Counter({'Misrepair_a2-b1': 2, 'Misrepair_a2-b2': 1})",0.0,0.0,1.0
9_1,[100 100],3,0.2,"[[12  9]
 [ 9 12]]",False,0.008,3,0.0086,0.01,12000,250,12000,0.05913848597372677,10,2,0,3,['Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b2'],[ 5.676  10.2168 27.907 ],14.599933333333333,10.852542541307301,-1,-1,"Counter({'Misrepair_a2-b2': 2, 'Misrepair_a2-b1': 1})",0.0,0.0,2.0
9_2,[100 200],3,0.2,"[[12  9]
 [ 9 12]]",False,0.008,3,0.0072,0.01,12000,250,12000,0.05393365491025832,10,2,0,3,['Misrepair_a1-b1' 'Misrepair_a2-b2' 'NA'],[27.2952 27.2592     nan],27.2772,0.024946727240259876,27.77756245734693,-2.8417816637842416e-07,"Counter({'Misrepair_a1-b1': 1, 'Misrepair_a2-b2': 1, 'NA': 1})",0.0,0.0,1.5
9_3,[100 300],3,0.2,"[[12  9]
 [ 9 12]]",False,0.008,3,0.0063,0.01,12000,250,12000,0.050428724097864044,10,2,0,3,['Repair' 'NA' 'Misrepair_a1-b2'],[16.0524     nan 27.0081],21.53025,7.591912767392549,0.09127668626962375,-3.35153408634556e-10,"Counter({'Repair': 1, 'NA': 1, 'Misrepair_a1-b2': 1})",0.5,0.6929646455628166,1.0
