experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,excludedVolumeCutOff,waitingSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,distanceThreshold,A1,B1,iterationsNumber,a1-a2_ComebackRate,a1-a2_ComebackAmplitude,a1-a2_meanComebackTime,a1-a2_stdComebackTime,a1-a2_meanComebackTime_dx,a1-a2_TakeoffRate,a1-a2_TakeoffAmplitude,a1-a2_meanTakeoffTime,a1-a2_stdTakeoffTime,a1-a2_meanTakeoffTime_dx,a1-b1_ComebackRate,a1-b1_ComebackAmplitude,a1-b1_meanComebackTime,a1-b1_stdComebackTime,a1-b1_meanComebackTime_dx,a1-b1_TakeoffRate,a1-b1_TakeoffAmplitude,a1-b1_meanTakeoffTime,a1-b1_stdTakeoffTime,a1-b1_meanTakeoffTime_dx,a1-b2_ComebackRate,a1-b2_ComebackAmplitude,a1-b2_meanComebackTime,a1-b2_stdComebackTime,a1-b2_meanComebackTime_dx,a1-b2_TakeoffRate,a1-b2_TakeoffAmplitude,a1-b2_meanTakeoffTime,a1-b2_stdTakeoffTime,a1-b2_meanTakeoffTime_dx,a2-b1_ComebackRate,a2-b1_ComebackAmplitude,a2-b1_meanComebackTime,a2-b1_stdComebackTime,a2-b1_meanComebackTime_dx,a2-b1_TakeoffRate,a2-b1_TakeoffAmplitude,a2-b1_meanTakeoffTime,a2-b1_stdTakeoffTime,a2-b1_meanTakeoffTime_dx,a2-b2_ComebackRate,a2-b2_ComebackAmplitude,a2-b2_meanComebackTime,a2-b2_stdComebackTime,a2-b2_meanComebackTime_dx,a2-b2_TakeoffRate,a2-b2_TakeoffAmplitude,a2-b2_meanTakeoffTime,a2-b2_stdTakeoffTime,a2-b2_meanTakeoffTime_dx,b1-b2_ComebackRate,b1-b2_ComebackAmplitude,b1-b2_meanComebackTime,b1-b2_stdComebackTime,b1-b2_meanComebackTime_dx,b1-b2_TakeoffRate,b1-b2_TakeoffAmplitude,b1-b2_meanTakeoffTime,b1-b2_stdTakeoffTime,b1-b2_meanTakeoffTime_dx
10,100,3,0.2,12,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.683441778038368,3.997530902280127,2.5383179723502307,8.545519997784462,0.46418283223208934,157.57600899548493,297.0997546046487,0.01681730769230769,0.018807781611921582,0.0009333216614493591,3.220386454397794,4.869363428649005,1.7130339321357286,5.941192900477557,0.36787126353344296,-1,-1,0.016802179379715006,0.016766612393176252,0.0009514394921228526,3.4916242761094702,4.797914664031297,2.2013313953488374,6.753078045013074,0.45134497806872226,-1,-1,0.01601344860710855,0.016511452425813266,0.0010030347610799004,2.899303639985828,3.8211206972013696,1.822488129154796,6.348521889501761,0.3834550901210948,290.2622568588076,897.7466031262853,0.016801266825019798,0.018340215752127464,0.0010114835786540132,2.5158582440521604,3.4135619089253177,2.0320904925544103,6.652279218213882,0.4412852579826202,309.3962413930186,1074.8310802380227,0.0164292364990689,0.017941844860443135,0.0010730526409900823,2.4248047200295266,3.1606417320613924,2.2984576534576533,7.5485760279204035,0.41241251083159397,343.36719131494567,1326.0866023549866,0.01720578566732413,0.017810356616810536,0.0008950845889474012
11,100,3,0.2,13,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.7218784770313165,4.1743229692342485,2.29475,8.25344745412341,0.4557285004926687,252.09027393043502,676.1985704133189,0.016691655801825297,0.01829044879372267,0.0009153090437831715,2.849182995856249,3.707435135530721,2.411829134720701,7.53819713102139,0.4889767087950996,294.8341213156353,961.2862913532696,0.016352941176470587,0.01792902934236641,0.0010571380633391466,2.7835627614452645,3.629958691573076,2.2391901408450705,7.1699207857671,0.4814493797310054,314.65940246481557,1117.6344461345932,0.016704211557296768,0.018045667172824187,0.0011069197681785562,2.5409335057423093,3.730236824702915,1.8071605465414176,6.308574217205161,0.3613340097667731,338.5673675574816,1288.7945901473609,0.01662201303403331,0.01745204852404339,0.0009204615335994514,2.718274375094286,3.828462895822207,1.8984643734643736,6.312101979939797,0.3540562345221197,293.87385337753096,942.6079070999174,0.016829183955739974,0.018641385427270188,0.0009608378678844109,3.035362020556858,4.41756028951751,2.592601374570447,7.93922861378807,0.4079461910582232,201.4344226930267,437.33723206706884,0.01710266821345708,0.017884860344424543,0.0008442537412993312
12,100,3,0.2,14,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.3440492607623526,3.211584350120635,2.3977722772277232,8.122124936114028,0.4572718082434845,325.4567689907326,1209.397483370345,0.016771117166212535,0.018345107808236203,0.0009384546960479958,2.5985234741144905,3.562497679246751,2.248852631578947,6.915449914911608,0.43975897227858424,314.5471513905108,1060.2965380149487,0.018499127399650962,0.01992062125213542,0.0011533646620173017,2.8476143847233213,4.030269329611843,1.9711077542799598,6.539701711145979,0.4067610753900385,-1,-1,0.016900000000000002,0.01723774927303446,0.0009753174799349526,2.46329426956484,2.963685396893448,2.3030550458715595,7.118309878691714,0.4225904831925053,343.26648883351584,1373.4697969441934,0.017085561497326204,0.0183393113711458,0.0009935032045205845,2.7462764451642623,3.7257810064370975,2.1340802675585286,7.011226672040663,0.39736031343242634,249.95978625282694,643.8421263326768,0.01665014164305949,0.018044546113877676,0.0009412059965078526,2.516509726997737,3.184061947826254,2.6078281710914455,8.335035613551804,0.44364305411839494,301.8074258806688,983.202713009176,0.0174954240390482,0.01900986731480778,0.0009203344527437024
13,100,3,0.2,15,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.51753085060444,3.4846743910318265,2.5106057692307693,8.464292704959059,0.4200339994047256,326.09294546468453,1169.5099156694416,0.017733188720173536,0.018767973725773546,0.0008566294477989901,2.334962732576854,2.9682913098475083,2.273235035211268,7.200632557688943,0.4187333536960778,301.01715698781555,994.4770349773162,0.016829537105069802,0.017634639043700297,0.0009369007431899637,3.415855489406337,4.630481093032187,2.0007560975609757,6.112450943945286,0.34160081825775923,669.8841826062088,10243.829780601525,0.016426592797783936,0.017194327215421166,0.000886865298479618,2.2941340593810566,3.034674255651482,1.9970073589533934,6.9771580358702785,0.39104019689491043,284.59890723214363,830.6180070483363,0.017913520933424847,0.019241040550886507,0.0009879952357180455,3.1769596188826834,4.195132942742687,1.7773509615384617,6.198457110822871,0.3767237514757183,363.49887119096115,1610.2502258742968,0.01676634768740032,0.018176709686240508,0.0010060569693635555,2.5751849158805338,3.422520810166382,2.5737031594415876,8.243380308446373,0.43795788041036904,291.75647992199544,899.5147885700205,0.017580547112462007,0.018759728216053175,0.0009065664910278329
14,100,3,0.2,16,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.6277321725441394,3.4312763539920885,2.392301495972382,7.4769542724416995,0.351524751496981,237.3707138162381,589.4894201608944,0.016546116504854373,0.018013622392916477,0.000777899542123712,2.4039691671554366,3.1478732427861633,2.3522454617206,7.275463336542521,0.40061611996100377,325.1402151552767,1202.6952361352955,0.01664047151277014,0.018013049531166378,0.0009034909277907579,2.721364030499475,3.5442866027538527,2.079191770756797,6.8851421489094236,0.3657968150239057,350.01063271815997,1440.8830647352074,0.01747847478474785,0.019062623324343945,0.0009265704956805289,2.297446049259943,3.172670974824147,2.196715893108298,7.62559512160621,0.39635105268435716,210.9517763297154,489.22292245082747,0.016418879056047202,0.018041456616791754,0.0008589004265681403,2.551667828423599,3.3581813615027065,2.389519480519481,7.983187418569735,0.39872368656623686,307.3143774582824,1048.0287159056368,0.01654379157427938,0.017789816534191552,0.0008209359490833455,2.5905107196875132,3.5390587273944223,2.6237440898345152,8.151114755238568,0.38839434626060393,304.78073941675757,1006.4322555870647,0.01688344172086043,0.018698040788412643,0.0008196827151797923
15,100,3,0.2,17,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.562836395471789,3.680242198377632,2.4591406250000003,8.195059733319823,0.37943657558946225,329.7088912711774,1253.6452412665749,0.016277148253068936,0.01757850748470217,0.0007486435576938343,2.9534063476992363,4.2011364839145555,2.085679180887372,6.925948702241833,0.35466352776327936,315.3199002916779,1126.5090868778564,0.01597926267281106,0.016702280078630345,0.0007857003977137898,2.434743243253281,3.29391241924911,1.9650644427596664,6.45355746230511,0.34828346373559355,249.15544058414554,643.5022073643465,0.01706033376123235,0.01832326902661889,0.0009098615295967109,3.0573326821392945,4.294285890448453,2.3328658976207644,7.672704019710768,0.40379997350302527,273.4188486332377,787.571293155766,0.016816277678037103,0.01822892193744027,0.0008740350153131128,2.9426300619393997,3.8115376596487103,2.052431948424069,6.360531461421288,0.33366201434929044,193.53430681965676,413.74777604853665,0.017288033674082985,0.018353268716,0.0008821112686017866,2.778060587561114,3.807168758604207,2.3601729278473464,7.492230225019347,0.35859204766662106,242.74653585758858,617.0648995196676,0.016809738955823297,0.017885188436069198,0.0007854253685529208
16,100,3,0.2,18,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.600869958416142,3.524747078449752,2.747789977477478,8.010945160895062,0.3725789799969185,253.5883842476822,676.3338473290742,0.016909439386679447,0.018302624098612313,0.0007852504736641433,2.875989962141931,3.7904135806669745,2.251952727272727,7.07544022308807,0.37398844870139286,289.9162235018753,867.1099381515162,0.017957875457875458,0.01928980342360288,0.0009341721689431435,2.5818175096158753,3.45336752346906,2.1782791411042948,6.863689616535817,0.3332114413376639,290.2797310213729,909.9717756833193,0.016895373291272348,0.01830547801578577,0.0008226817993414237,3.2444819656401593,4.376991409751214,2.026808367071525,6.49927805362546,0.3309002436844405,214.0527065941845,493.1996249800096,0.016772187676653477,0.01764977402836962,0.0008224912839127265,2.514452897443483,3.360521688247956,2.107634011090573,6.85900640718308,0.33370139331872545,-1,-1,0.01645015906680806,0.017444941640487686,0.0007873262802979711,2.260924664713978,2.9197797600727897,2.477080384226492,7.942189232189602,0.3500121805069066,365.4756383626334,1613.6598964963116,0.016422432316287067,0.016953027309360057,0.0006888190370839566
17,100,3,0.2,19,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.3620521983896325,3.1196445650322153,2.2792186024551464,7.473852394111394,0.3183007118707572,187.7514625140784,381.60251997802004,0.017927818329278183,0.0191385984225419,0.0007553872759722002,2.605137731563213,3.3835814023179065,2.2689821693907875,6.842154752230548,0.3655328680468645,-1,-1,0.016354422604422606,0.016606970246994198,0.0008067134144266642,2.6226214886438877,3.4538335277883903,2.0544421364985164,6.744479310700556,0.32203609037489583,-1,-1,0.016835093011563603,0.017727220712847443,0.0007790751136644255,2.47856520060774,3.395645745044248,2.3325748086290883,7.817604463193459,0.40420471995693924,330.8060421393634,1234.0070625679432,0.017144522144522147,0.018039198424079413,0.000853521892861659,3.0952240897303236,4.531728044487436,1.9585535506402794,6.729650208368383,0.318226969347694,250.74503514303552,654.1724849468303,0.016847718253968257,0.018439119171624795,0.0008049167752980072,2.4985065203764325,3.364917712395308,2.7760712518555173,8.218092319297746,0.35829762569757634,342.99200148957516,1352.9484633612947,0.016925675675675676,0.018473398045683778,0.000744066943045799
18,100,3,0.2,20,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.591178222985783,3.618597300101447,2.5861740890688263,7.922027183959053,0.3293234590168262,222.5550373273524,541.2877760579548,0.01719159599074788,0.019923386187861495,0.00076671549231285,2.247549533943004,2.8795305603062955,2.0499504132231405,6.370576898922842,0.2930869754006863,-1,-1,0.016667450611476953,0.017665543945464608,0.0007509334595546428,2.88387897306549,3.8470928196746548,2.1679080389768575,6.778390526503266,0.3278657728524887,199.34014959667212,434.14026355766384,0.017004668049792532,0.01817641987906583,0.0008113549741315545,2.6007836821427777,3.4477874685236474,2.4389787632729547,8.035849848976875,0.3936336512982253,-1,-1,0.016500261369576583,0.017154387207196448,0.0007687299382787991,2.6055693360279606,3.6514832208718073,2.240299170616114,6.875805055144454,0.32801477407253227,213.99322607345871,500.0242278521457,0.016385964912280705,0.01752395863737938,0.0007689831803579604,2.201085185358079,2.892315825787555,2.5531126968503943,8.256747244981886,0.35900724230747383,313.4225391905318,1092.3876023259445,0.01725854070012653,0.018253920553801272,0.0007347615986460831
19,100,3,0.2,21,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,30,59,800,2.407800483686342,3.074005994894056,2.7339624724061813,8.027120077469007,0.33058392202791564,151.73993960606586,275.09177801729317,0.017336501901140684,0.01906878878256369,0.0007287881549113163,2.6050287069544042,3.578394749683061,2.322531969309463,7.192368962125145,0.31882667405781323,310.69238986075806,1045.940383711557,0.01700479930191972,0.017670423559277174,0.000723428683642153,2.6885799026786743,3.5585968655323246,2.3149660751565766,6.852861126751679,0.3068529126126991,314.2264521456382,1126.1848670438224,0.016428257042253522,0.01770926572121593,0.0007282029974559819,2.1864393525819366,2.726264818074619,2.2619916765755055,6.9140350128752495,0.3304263325590346,337.250352633421,1345.390356071961,0.016078140454995057,0.01723821654630734,0.0007513768802201149,3.0171586092069442,4.363810375853829,2.2246770662287902,7.063867715266114,0.3239137285916618,309.9356907501016,1050.7284443481478,0.016825764596848935,0.018216422225230344,0.0007685877090229955,2.52617500653868,3.193183566928038,2.5910473870682025,7.894137041035186,0.32561077199736665,320.6557660083275,1152.9476803093828,0.01722369920243069,0.018274973196588565,0.0006980513807481589
